top k,accuracy,total score,correct score,DATE_TIME,ID,LOCATION,ORGANIZATION,PERSON,PHONE_NUMBER,non-pii
1,0.0,0.9972620411888288,0.0,Accuracy: 0.0 with Score: 0.0/0.9972620357785906,Accuracy: 0.0 with Score: 0.0/0.9972620227120139,Accuracy: 0.0 with Score: 0.0/0.9972620254627426,Accuracy: 0.0 with Score: 0.0/0.9972620407740275,Accuracy: 0.0 with Score: 0.0/0.9972620389678262,Accuracy: 0.0 with Score: 0.0/0.9972619613011678,Accuracy: 0.0 with Score: 0.0/0.9972620418928527
5,0.0017398028223468006,0.9999616854233064,2.197358050678945e-06,Accuracy: 0.0 with Score: 0.0/0.9999616863401509,Accuracy: 0.0 with Score: 0.0/0.9999616791983003,Accuracy: 0.0 with Score: 0.0/0.9999616821631941,Accuracy: 0.0 with Score: 0.0/0.9999616784965232,Accuracy: 0.0 with Score: 0.0/0.9999616834549712,Accuracy: 0.0 with Score: 0.0/0.9999616694027887,Accuracy: 0.0018958011515236625 with Score: 2.3943827825085348e-06/0.9999616855477207
10,0.002964108512146401,0.9999996552638133,2.1990141056234453e-06,Accuracy: 0.0 with Score: 0.0/0.9999996560463612,Accuracy: 0.0 with Score: 0.0/0.9999996491354429,Accuracy: 0.0 with Score: 0.0/0.9999996520212777,Accuracy: 0.0 with Score: 0.0/0.9999996481816216,Accuracy: 0.0 with Score: 0.0/0.9999996533751966,Accuracy: 0.0 with Score: 0.0/0.9999996387935539,Accuracy: 0.00322988344333661 with Score: 2.396187326581256e-06/0.9999996553907575
20,0.007796894129776403,0.9999999687651262,2.1991753525694196e-06,Accuracy: 0.0 with Score: 0.0/0.9999999695469706,Accuracy: 0.0 with Score: 0.0/0.9999999626372763,Accuracy: 0.0 with Score: 0.0/0.9999999655229247,Accuracy: 0.0 with Score: 0.0/0.99999996168292,Accuracy: 0.0 with Score: 0.0/0.9999999668769654,Accuracy: 0.0 with Score: 0.0/0.9999999523007533,Accuracy: 0.008495997753124561 with Score: 2.3963630316335365e-06/0.9999999688921025
40,0.06727237579740962,0.9999999840700065,2.1991803727612463e-06,Accuracy: 0.0 with Score: 5.688018178155795e-14/0.999999984851883,Accuracy: 0.0 with Score: 0.0/0.999999977942241,Accuracy: 0.0 with Score: 0.0/0.9999999808279103,Accuracy: 0.0 with Score: 0.0/0.9999999769878554,Accuracy: 0.0 with Score: 2.2056401449573175e-12/0.9999999821819369,Accuracy: 0.0 with Score: 0.0/0.9999999676060431,Accuracy: 0.07140851004072461 with Score: 2.3963684453471673e-06/0.9999999841969764
