top k,accuracy,total score,correct score,DATE_TIME,ID,LOCATION,ORGANIZATION,PERSON,PHONE_NUMBER,non-pii
1,0.0,0.5518301163474587,0.0,Accuracy: 0.0 with Score: 0.0/0.55183005799319,Accuracy: 0.0 with Score: 0.0/0.5518300672372182,Accuracy: 0.0 with Score: 0.0/0.5518300912596963,Accuracy: 0.0 with Score: 0.0/0.5518302023410797,Accuracy: 0.0 with Score: 0.0/0.5518301613423047,Accuracy: 0.0 with Score: 0.0/0.5518295764923096,Accuracy: 0.0 with Score: 0.0/0.5518301181333631
5,0.18697139905739557,0.6338360666239833,0.004465577549343958,Accuracy: 0.0 with Score: 0.0/0.6338360155150579,Accuracy: 0.0 with Score: 0.0/0.6338360242079943,Accuracy: 0.0 with Score: 0.00013297080824320966/0.6338360454689599,Accuracy: 0.0 with Score: 0.0/0.6338361442321911,Accuracy: 0.0 with Score: 0.0022887870906054646/0.6338361058620869,Accuracy: 0.0 with Score: 0.0/0.6338355988264084,Accuracy: 0.2007885102787947 with Score: 0.0048081462523422375/0.6338360681693179
10,0.26670540383497965,0.671373993549413,0.005063256336768947,Accuracy: 0.0 with Score: 0.0/0.6713739542116389,Accuracy: 0.0 with Score: 0.0/0.6713739595764007,Accuracy: 0.0 with Score: 0.000160042636773803/0.671373978238835,Accuracy: 0.0 with Score: 0.0/0.671374055556953,Accuracy: 0.0 with Score: 0.0023134658164576274/0.6713740248117308,Accuracy: 0.0 with Score: 0.0/0.6713736127130687,Accuracy: 0.28759504364967614 with Score: 0.0054586376164827664/0.6713739946949834
20,0.35224998385951317,0.7111983334245356,0.00541507050217514,Accuracy: 0.0 with Score: 0.0/0.711198293472434,Accuracy: 0.0 with Score: 0.0/0.7111983007091719,Accuracy: 0.0 with Score: 0.00018313975270950434/0.7111983170972742,Accuracy: 0.0 with Score: 0.0/0.7111983903450891,Accuracy: 0.0 with Score: 0.002397799208369209/0.7111983646372415,Accuracy: 0.0 with Score: 0.0/0.7111979434266686,Accuracy: 0.3803154041115179 with Score: 0.0058395936057706955/0.7111983346158517
40,0.4323713603202272,0.7479216202699344,0.005571321819828225,Accuracy: 0.0 with Score: 8.735947492212512e-06/0.7479215816175654,Accuracy: 0.0 with Score: 0.00022888198727741838/0.7479215896688401,Accuracy: 0.0 with Score: 0.00021428122876607109/0.7479216044324196,Accuracy: 0.0 with Score: 0.0/0.7479216715582879,Accuracy: 0.0 with Score: 0.00246512128949649/0.7479216498181286,Accuracy: 0.0 with Score: 0.0/0.7479212292237207,Accuracy: 0.46599549422697834 with Score: 0.006006252210596049/0.7479216214386601
