k,accuracy,attack success
1,0,0.03225532235010909
5,0.03163394267659672,0.058424358685022125
10,0.03322425336643347,0.058424358685022125
20,0.04059649671024076,0.058424358685022125
40,0.06303800727971338,0.058424358685022125
