k,accuracy,attack success
1,0,0.03054916121266834
5,0.03163394267659672,0.0783310186390753
10,0.03322425336643347,0.0783310186390753
20,0.04016205753172575,0.0783310186390753
40,0.06303800727971338,0.0783310186390753
