top k,accuracy,total score,correct score,DATE_TIME,ID,LOCATION,ORGANIZATION,PERSON,PHONE_NUMBER,non-pii
1,0.0,0.6000176128271082,0.0,Accuracy: 0.0 with Score: 0.0/0.6000175996081819,Accuracy: 0.0 with Score: 0.0/0.6000176126306708,Accuracy: 0.0 with Score: 0.0/0.6000176012516022,Accuracy: 0.0 with Score: 0.0/0.6000176022450129,Accuracy: 0.0 with Score: 0.0/0.600017622994705,Accuracy: 0.0 with Score: 0.0/0.6000176072120667,Accuracy: 0.0 with Score: 0.0/0.6000176133277232
5,0.189375402446877,0.6797184156616748,0.0043906039077997285,Accuracy: 0.0 with Score: 3.7370586898101213e-05/0.679718405332171,Accuracy: 0.0 with Score: 0.0/0.6797184122048996,Accuracy: 0.0 with Score: 0.000270689625499977/0.6797184045711119,Accuracy: 0.0 with Score: 0.0011780677984158199/0.6797184038441628,Accuracy: 0.0 with Score: 0.0015719483252352392/0.6797184259329043,Accuracy: 0.0 with Score: 0.0/0.6797183807939291,Accuracy: 0.20352305424942102 with Score: 0.00473705451952262/0.6797184160691524
10,0.2725048293625241,0.7156410337292937,0.005014763991735247,Accuracy: 0.0 with Score: 3.7370586898101213e-05/0.7156410266821552,Accuracy: 0.0 with Score: 0.0/0.7156410311757954,Accuracy: 0.0 with Score: 0.00031254579338969456/0.715641024403481,Accuracy: 0.0 with Score: 0.0011780677984158199/0.7156410250657549,Accuracy: 0.0 with Score: 0.001634780670398138/0.7156410420811932,Accuracy: 0.0 with Score: 0.0/0.7156410003080964,Accuracy: 0.2937750017545091 with Score: 0.005414704347619011/0.7156410340210063
20,0.35260785576303927,0.7514500518088515,0.00532574366850998,Accuracy: 0.0 with Score: 3.7370586898101213e-05/0.7514500465572701,Accuracy: 0.0 with Score: 0.0/0.751450050029565,Accuracy: 0.0 with Score: 0.0003279076371755865/0.7514500442303769,Accuracy: 0.0 with Score: 0.0011780677984158199/0.7514500446268357,Accuracy: 0.0 with Score: 0.0016938203676852962/0.7514500587791677,Accuracy: 0.0 with Score: 0.0/0.7514500209363177,Accuracy: 0.3805881114464173 with Score: 0.005751782389868413/0.7514500520244048
40,0.43509336767546686,0.7822135743650285,0.00545744566668601,Accuracy: 0.0 with Score: 4.089626228751101e-05/0.7822135708425596,Accuracy: 0.0 with Score: 5.192353714709029e-05/0.7822135731835398,Accuracy: 0.0 with Score: 0.0003475067108714332/0.7822135679339731,Accuracy: 0.0 with Score: 0.0011780677984158199/0.782213568124765,Accuracy: 0.0 with Score: 0.0017387557728871913/0.7822135804135772,Accuracy: 0.0 with Score: 0.0/0.7822135414171498,Accuracy: 0.4693662713172854 with Score: 0.005893349086801926/0.7822135745123105
